question,option0,option1,option2,correctIndex,difficulty,era,region
"Which 1922 vampire film was an unauthorized Dracula adaptation?","Nosferatu","The Cabinet of Dr. Caligari","Metropolis",0,"Medium","Silent Era","International"
"Who was known as 'The Little Tramp' in silent cinema?","Buster Keaton","Charlie Chaplin","Harold Lloyd",1,"Easy","Silent Era","Domestic"
"Which 1927 Fritz Lang film features a robot named Maria?","Metropolis","M","Woman in the Moon",0,"Hard","Silent Era","International"
"Which silent star was known as 'The Great Stone Face'?","Buster Keaton","Lon Chaney","Douglas Fairbanks",0,"Medium","Silent Era","Domestic"
"What was the first 'Talkie' that ended the Silent Era?","The Jazz Singer","Lights of New York","Sunrise",0,"Easy","Silent Era","Domestic"
"Which 1902 French film features a man-in-the-moon getting hit by a rocket?","A Trip to the Moon","The Impossible Voyage","The Conquest of the Pole",0,"Easy","Silent Era","International"
"What frame rate was most common for silent films before standardization?","16 fps","24 fps","12 fps",0,"Director Cut","Silent Era","International"
"Which 1928 film is famous for an eye-slitting scene?","Un Chien Andalou","The Seashell and the Clergyman","Entr'acte",0,"Hard","Silent Era","International"
"What color is the brick road in 'The Wizard of Oz'?","Red","Yellow","Gold",1,"Easy","Golden Age","Domestic"
"Burt Lancaster stars as a prisoner in which 1962 classic?","Birdman of Alcatraz","The Killers","Sweet Smell of Success",0,"Medium","Golden Age","Domestic"
"In 'Sweet Smell of Success', Burt Lancaster plays a ruthless...?","Columnist","Politician","Lawyer",0,"Hard","Golden Age","Domestic"
"Which Jane Austen novel was adapted into the 1940 film starring Laurence Olivier?","Pride and Prejudice","Emma","Persuasion",0,"Medium","Golden Age","Domestic"
"Which Japanese director made 'Seven Samurai' in 1954?","Akira Kurosawa","Yasujirō Ozu","Kenji Mizoguchi",0,"Easy","Golden Age","International"
"Which 1953 Ozu film follows an elderly couple visiting Tokyo?","Tokyo Story","Late Spring","Floating Weeds",0,"Hard","Golden Age","International"
"Who played the lead in the 1931 'M'?","Peter Lorre","Bela Lugosi","Boris Karloff",0,"Hard","Golden Age","International"
"What was 'Rosebud' in Citizen Kane?","A Sled","A Dog","A Secret",0,"Hard","Golden Age","Domestic"
"Which studio produced 'The Wizard of Oz'?","Warner Bros","MGM","RKO",1,"Hard","Golden Age","Domestic"
"Who directed 'The Rules of the Game' (1939)?","Jean Renoir","Marcel Carné","Jean Cocteau",0,"Hard","Golden Age","International"
